workload,NRH,Prac Level,ABO_Only,ABO_RFM,TPRAC
classification,1024.0,2.0,0.9898196625945317,0.9948966100798562,0.9246126183298957
classification,1024.0,4.0,0.9873340737215083,0.9948966100798562,0.9246126183298957
cloud9,1024.0,1.0,1.0018238190771476,0.985774211198249,0.9472916286704358
cloud9,1024.0,2.0,1.0003647638154294,0.985774211198249,0.9472916286704358
cloud9,1024.0,4.0,1.0098486230165966,0.985774211198249,0.9472916286704358
nutch,1024.0,1.0,1.0012411278749564,0.97610828840709,0.9356940619788233
nutch,1024.0,2.0,0.9991079393398751,0.97610828840709,0.9356940619788233
nutch,1024.0,4.0,0.9976728852344569,0.97610828840709,0.9356940619788233
SPEC2K6 (26),1024.0,1.0,0.9999541350339709,0.9951065141847419,0.9699490536189611
SPEC2K17 (20),1024.0,1.0,1.0001216179754013,0.9945061674411912,0.9712775933898904
CloudSuite (4),1024.0,1.0,0.9995002190954256,0.9828675059676066,0.9375407526683345
SPEC2K6 (26),1024.0,2.0,0.9999814877330293,0.9951065141847419,0.9699490536189611
SPEC2K17 (20),1024.0,2.0,1.0004215829017018,0.9945061674411912,0.9712775933898904
CloudSuite (4),1024.0,2.0,0.9979101368639951,0.9828675059676066,0.9375407526683345
SPEC2K6 (26),1024.0,4.0,0.999958468472227,0.9951065141847419,0.9699490536189611
SPEC2K17 (20),1024.0,4.0,1.0005372720863173,0.9945061674411912,0.9712775933898904
CloudSuite (4),1024.0,4.0,0.9993218571727168,0.9828675059676066,0.9375407526683345
All (50),1024.0,1.0,0.9999793896946854,0.9930900736358906,0.9657593403060218
All (50),1024.0,2.0,0.9999609123597561,0.9930900736358906,0.9657593403060218
All (50),1024.0,4.0,1.0001292443862002,0.9930900736358906,0.9657593403060218
