workload,PSQ_size,QPRAC,QPRAC+1Proactive_per_4tREFI,QPRAC+1Proactive_per_2tREFI,QPRAC+1Proactive_per_1tREFI
ycsb_eserver,3.0,0.999165211314991,1.0,1.0,1.0
ycsb_eserver,4.0,0.9992779501356199,1.0,1.0,1.0
ycsb_eserver,5.0,0.9994521069486113,1.0,1.0,1.0
SPEC2K6 (23),1.0,0.9044803862737875,0.9656913714596218,0.99495205758655,1.0
SPEC2K17 (18),1.0,0.9404651054555663,0.9687090686233871,1.0000395334650307,1.0
TPC (4),1.0,0.9800634323770172,1.0,1.0,1.0
Hadoop (3),1.0,0.9946612824941795,1.0,1.0,1.0
MediaBench (3),1.0,0.9260279735989718,0.927556363970892,1.0,1.0
YCSB (6),1.0,0.9830711456698126,1.0,1.0,1.0
SPEC2K6 (23),2.0,0.9763746099226955,0.987772543247542,0.9999797613930574,1.0
SPEC2K17 (18),2.0,0.989526929391982,0.9991083731369755,1.0,1.0
TPC (4),2.0,0.9988315855192372,1.0,1.0,1.0
Hadoop (3),2.0,0.9994530052801867,1.0,1.0,1.0
MediaBench (3),2.0,0.9829598147127137,0.9967571341862727,1.0,1.0
YCSB (6),2.0,0.9980786045917545,1.0,1.0,1.0
SPEC2K6 (23),3.0,0.9812805397216781,0.9928814770738399,0.999547933082294,1.0
SPEC2K17 (18),3.0,0.9934182870367316,0.999283341726974,1.0,1.0
TPC (4),3.0,0.9992641309673357,1.0,1.0,1.0
Hadoop (3),3.0,0.9995814035597529,1.0,1.0,1.0
MediaBench (3),3.0,0.9818278511523865,0.9968974682670775,1.0,1.0
YCSB (6),3.0,0.9980285297433189,1.0,1.0,1.0
SPEC2K6 (23),4.0,0.9846524688306026,0.9941857683148468,0.9999947405354089,1.0
SPEC2K17 (18),4.0,0.9932877767155909,0.99938710607071,1.0,1.0
TPC (4),4.0,0.9972529257207922,1.0,1.0,1.0
Hadoop (3),4.0,0.9995165680283379,1.0,1.0,1.0
MediaBench (3),4.0,0.9831379340776515,0.9977889452865633,1.0,1.0
YCSB (6),4.0,0.9981456704003753,1.0,1.0,1.0
SPEC2K6 (23),5.0,0.9856080504112096,0.996668484216031,0.9999137367128236,1.0
SPEC2K17 (18),5.0,0.9929231044557361,0.9993580822477659,1.0,1.0
TPC (4),5.0,0.9975499126081109,1.0,1.0,1.0
Hadoop (3),5.0,0.9992790845445856,1.0,1.0,1.0
MediaBench (3),5.0,0.9860665189370407,0.998047832388868,1.0,1.0
YCSB (6),5.0,0.9979873497951331,1.0,1.0,1.0
All (57),1.0,0.9371531195608784,0.9728309412595053,0.9981364871414442,1.0
All (57),2.0,0.9865399823553034,0.994965842567575,0.9999924920818917,1.0
All (57),3.0,0.9895290639568256,0.996934348117924,0.999832273906183,1.0
All (57),4.0,0.990682446975376,0.9975092334325112,0.9999980489050694,1.0
All (57),5.0,0.9911085112133168,0.9984404199670509,0.999967998234881,1.0
