workload,Channel,interface,Baseline,Baseline-ClosedCap4
445.gobmk,1.0,17600.0,3.5116371053426447,3.5116371053426447
445.gobmk,2.0,8800.0,3.5177634813993754,3.5173819625177787
445.gobmk,4.0,8800.0,3.5332714855359417,3.5332714855359417
445.gobmk,8.0,8800.0,3.547431086982904,3.547431086982904
445.gobmk,16.0,8800.0,3.556196366335452,3.556196366335452
447.dealII,1.0,3200.0,3.9463423334194845,3.9463423334194845
447.dealII,1.0,6400.0,3.950761899686869,3.950761899686869
447.dealII,1.0,8800.0,3.953275314274514,3.9537572586633702
447.dealII,1.0,12800.0,3.9541721181519276,3.9541721181519276
447.dealII,1.0,17600.0,3.9557355019624603,3.9557355019624603
447.dealII,2.0,8800.0,3.9550201493641826,3.9550201493641826
447.dealII,4.0,8800.0,3.9568350058848423,3.9568350058848423
447.dealII,8.0,8800.0,3.9574392528329407,3.9574392528329407
447.dealII,16.0,8800.0,3.958405385217324,3.958405385217324
450.soplex,1.0,3200.0,1.0356908275390695,1.0033564178419752
450.soplex,1.0,6400.0,1.2393396914152748,1.1836672788562244
450.soplex,1.0,8800.0,1.2904737460731206,1.2304990044807809
450.soplex,1.0,12800.0,1.3121846693954282,1.2540263953293316
450.soplex,1.0,17600.0,1.3356815630235346,1.2778317915854107
450.soplex,2.0,8800.0,1.5281701602551696,1.4836872137512997
450.soplex,4.0,8800.0,1.7059489979458633,1.6764293091221267
450.soplex,8.0,8800.0,1.8153808446431137,1.7966918490516104
450.soplex,16.0,8800.0,1.9138744116305106,1.8996378906468057
456.hmmer,1.0,3200.0,3.0526829954476256,3.04977166969509
456.hmmer,1.0,6400.0,3.123692955502013,3.1179272999627643
456.hmmer,1.0,8800.0,3.147832117929123,3.1417297762157825
456.hmmer,1.0,12800.0,3.1563032752428763,3.1519636169092586
456.hmmer,1.0,17600.0,3.169525560756106,3.1649654492116475
456.hmmer,2.0,8800.0,3.25832867745319,3.2547317420160065
456.hmmer,4.0,8800.0,3.3141838750968944,3.3111377023428794
456.hmmer,8.0,8800.0,3.341510528628502,3.3360110671232848
456.hmmer,16.0,8800.0,3.3685821612784026,3.364388779211684
458.sjeng,1.0,3200.0,3.4786070502528963,3.4786070502528963
458.sjeng,1.0,6400.0,3.513017888216755,3.513017888216755
458.sjeng,1.0,8800.0,3.519609327308194,3.519609327308194
458.sjeng,1.0,12800.0,3.523819891223204,3.523819891223204
458.sjeng,1.0,17600.0,3.528413520070431,3.528413520070431
458.sjeng,2.0,8800.0,3.5382794814628795,3.5382794814628795
458.sjeng,4.0,8800.0,3.550963848411314,3.550963848411314
458.sjeng,8.0,8800.0,3.5650968209703784,3.5650968209703784
458.sjeng,16.0,8800.0,3.5788975916066432,3.5788975916066432
459.GemsFDTD,1.0,3200.0,0.947466006061535,0.9375692602333111
459.GemsFDTD,1.0,6400.0,1.1136864119443848,1.0980309757173525
459.GemsFDTD,1.0,8800.0,1.1558853926409867,1.138501195645986
