workload,Nrh,prac-level,Benchmark_Types,ABO-Only,BAT-RFM,TPRAC-S
MIX27,512.0,2.0,MMMM (15),1.0000698931298513,0.9632109977062797,0.9099202845461929
MIX27,512.0,4.0,MMMM (15),0.9995187274492369,0.9632109977062797,0.9099202845461929
MIX27,1024.0,1.0,MMMM (15),1.0,0.9944052186351838,0.9766642129414081
MIX27,2048.0,1.0,MMMM (15),1.0,0.9982519123650281,0.9845524464433101
MIX27,4096.0,1.0,MMMM (15),1.0,0.9982519123650281,0.9845524464433101
MIX28,256.0,1.0,MMMM (15),0.9999485659385536,0.9225801094591093,
MIX28,512.0,1.0,MMMM (15),0.9999857704909584,0.971045373070492,
MIX28,512.0,2.0,MMMM (15),1.0000167047576178,0.971045373070492,0.9202596092315845
MIX28,512.0,4.0,MMMM (15),1.0000030120458545,0.971045373070492,0.9202596092315845
MIX28,1024.0,1.0,MMMM (15),1.0,0.994351242019627,0.9803301046539815
MIX28,2048.0,1.0,MMMM (15),1.0,0.9968408722123179,0.989951794928191
MIX28,4096.0,1.0,MMMM (15),1.0,0.9968408722123179,0.989951794928191
MIX29,256.0,1.0,MMMM (15),1.0,0.9156470596713399,0.831583775944494
MIX29,512.0,1.0,MMMM (15),1.0,0.9680233025221499,0.9165796247039015
MIX29,512.0,2.0,MMMM (15),1.0,0.9680233025221499,0.9165796247039015
MIX29,512.0,4.0,MMMM (15),1.0,0.9680233025221499,0.9165796247039015
MIX29,1024.0,1.0,MMMM (15),1.0,0.9937619805043757,0.9789442325295215
MIX29,2048.0,1.0,MMMM (15),1.0,0.9978139043222702,0.989346805202124
MIX29,4096.0,1.0,MMMM (15),1.0,0.9978139043222702,0.989346805202124
MIX3,256.0,1.0,HHHH (15),0.9989733042447329,,
MIX3,512.0,1.0,HHHH (15),0.9996123695025301,0.937206109158079,
MIX3,512.0,2.0,HHHH (15),0.9997771079388283,0.937206109158079,
MIX3,512.0,4.0,HHHH (15),0.9996086750134408,0.937206109158079,
MIX3,1024.0,1.0,HHHH (15),0.9999483826275672,0.9878641344833352,
MIX3,2048.0,1.0,HHHH (15),1.0,0.9948262412433134,0.9879095587537235
MIX3,4096.0,1.0,HHHH (15),1.0,0.9948262412433134,0.9879095587537235
MIX30,256.0,1.0,LLLL (15),1.0,0.9969400847416127,0.9527850515057148
MIX30,512.0,1.0,LLLL (15),1.0,0.9990433249853413,0.9776344424407638
MIX30,512.0,2.0,LLLL (15),1.0,0.9990433249853413,0.9776344424407638
MIX30,512.0,4.0,LLLL (15),1.0,0.9990433249853413,0.9776344424407638
MIX30,1024.0,1.0,LLLL (15),1.0,0.9997694433296789,0.9940824395166723
MIX30,2048.0,1.0,LLLL (15),1.0,0.9998999773612299,0.9968874436098664
MIX30,4096.0,1.0,LLLL (15),1.0,0.9998999773612299,0.9968874436098664
MIX31,256.0,1.0,LLLL (15),1.0,0.9961016180488826,0.9511390823334178
MIX31,512.0,1.0,LLLL (15),1.0,1.0000540565083855,0.9761306366236664
MIX31,512.0,2.0,LLLL (15),1.0,1.0000540565083855,0.9761306366236664
MIX31,512.0,4.0,LLLL (15),1.0,1.0000540565083855,0.9761306366236664
MIX31,1024.0,1.0,LLLL (15),1.0,1.0005001208183777,0.9958869094603576
MIX31,2048.0,1.0,LLLL (15),1.0,0.9999277652000609,0.9985603012804346
MIX31,4096.0,1.0,LLLL (15),1.0,0.9999277652000609,0.9985603012804346
MIX32,256.0,1.0,LLLL (15),1.0,0.994120737361563,0.9495473900306085
MIX32,512.0,1.0,LLLL (15),1.0,0.998272167144401,0.9735785386839797
MIX32,512.0,2.0,LLLL (15),1.0,0.998272167144401,0.9735785386839797
MIX32,512.0,4.0,LLLL (15),1.0,0.998272167144401,0.9735785386839797
MIX32,1024.0,1.0,LLLL (15),1.0,0.9999324269630627,0.9934991911901543
MIX32,2048.0,1.0,LLLL (15),1.0,1.0002839387450333,0.9969179083076467
MIX32,4096.0,1.0,LLLL (15),1.0,1.0002839387450333,0.9969179083076467
MIX33,256.0,1.0,LLLL (15),1.0,0.994513791819953,0.9329715624577771
MIX33,512.0,1.0,LLLL (15),1.0,0.9981225215015832,0.9679525851055975
MIX33,512.0,2.0,LLLL (15),1.0,0.9981225215015832,0.9679525851055975
MIX33,512.0,4.0,LLLL (15),1.0,0.9981225215015832,0.9679525851055975
MIX33,1024.0,1.0,LLLL (15),1.0,1.0000537845175048,0.9926265468736308
MIX33,2048.0,1.0,LLLL (15),1.0,1.0002152956717814,0.9964686176050067
MIX33,4096.0,1.0,LLLL (15),1.0,1.0002152956717814,0.9964686176050067
MIX34,256.0,1.0,LLLL (15),1.0,0.9904327039684834,0.93102584237905
MIX34,512.0,1.0,LLLL (15),1.0,0.99661051230549,0.9625804001279075
MIX34,512.0,2.0,LLLL (15),1.0,0.99661051230549,0.9625804001279075
MIX34,512.0,4.0,LLLL (15),1.0,0.99661051230549,0.9625804001279075
MIX34,1024.0,1.0,LLLL (15),1.0,0.9992866321396238,0.9907170268786974
MIX34,2048.0,1.0,LLLL (15),1.0,0.9995353970394127,0.9948467805149707
MIX34,4096.0,1.0,LLLL (15),1.0,0.9995353970394127,0.9948467805149707
MIX35,256.0,1.0,LLLL (15),1.0,0.9969801695277106,0.9504204470580662
MIX35,512.0,1.0,LLLL (15),1.0,0.9979636828721342,0.9746545613794628
MIX35,512.0,2.0,LLLL (15),1.0,0.9979636828721342,0.9746545613794628
MIX35,512.0,4.0,LLLL (15),1.0,0.9979636828721342,0.9746545613794628
MIX35,1024.0,1.0,LLLL (15),1.0,1.0000444186141788,0.994225628418339
MIX35,2048.0,1.0,LLLL (15),1.0,0.9999685941509332,0.9964795189981155
MIX35,4096.0,1.0,LLLL (15),1.0,0.9999685941509332,0.9964795189981155
MIX36,256.0,1.0,LLLL (15),1.0,0.9986807107131973,0.9674920886764579
MIX36,512.0,1.0,LLLL (15),1.0,0.9994845125831567,0.9842926914024173
MIX36,512.0,2.0,LLLL (15),1.0,0.9994845125831567,0.9842926914024173
MIX36,512.0,4.0,LLLL (15),1.0,0.9994845125831567,0.9842926914024173
MIX36,1024.0,1.0,LLLL (15),1.0,1.0004790444923066,0.9968230654103488
