workload,Channel,interface,Normalized_PRAC_WO_Mitigation,Normalized_PRAC_WO_Mitigation-ClosedCap4
471.omnetpp,1.0,6400.0,0.876820391286057,0.8772688142260011
471.omnetpp,1.0,8000.0,0.8744511979058617,0.8751892869746528
471.omnetpp,1.0,8800.0,0.8750410389687809,0.8754332921806189
471.omnetpp,1.0,12800.0,0.8737925867121926,0.874503482952189
471.omnetpp,1.0,17600.0,0.8717928443256896,0.8722176157975046
471.omnetpp,2.0,8000.0,0.8799018014707616,0.8805424885887033
471.omnetpp,2.0,8800.0,0.8802190432073634,0.8807375462484439
471.omnetpp,4.0,8000.0,0.8866179296945449,0.8869129221543538
471.omnetpp,4.0,8800.0,0.8868117851484949,0.8864441070470443
471.omnetpp,8.0,8000.0,0.8949603244016683,0.895299115841549
471.omnetpp,8.0,8800.0,0.8955477098056782,0.8958523785612518
471.omnetpp,16.0,8000.0,0.9072699879308568,0.9079194687795699
471.omnetpp,16.0,8800.0,0.9086676535738185,0.9084906027525265
473.astar,1.0,3200.0,0.8851584616838283,0.885058701866838
473.astar,1.0,4800.0,0.8767954895947814,0.876323995718331
473.astar,1.0,6400.0,0.8710082781004876,0.8709135426258183
473.astar,1.0,8000.0,0.868481470374099,0.8687268030262943
473.astar,1.0,8800.0,0.8690034794661382,0.8691620596758176
473.astar,1.0,12800.0,0.8660895435352642,0.8657390397096826
473.astar,1.0,17600.0,0.8620980488045545,0.8619338131289838
473.astar,2.0,8000.0,0.8868291576874103,0.8868641464923035
473.astar,2.0,8800.0,0.8875183639042159,0.8875820481415027
473.astar,4.0,8000.0,0.9095701607611577,0.9095712220611021
473.astar,4.0,8800.0,0.9102210561353847,0.9102159635439973
473.astar,8.0,8000.0,0.9308518929190889,0.931142687457062
473.astar,8.0,8800.0,0.9315798429878759,0.9318002125744017
473.astar,16.0,8000.0,0.9528394458750892,0.9528365983490781
473.astar,16.0,8800.0,0.9536277966879013,0.953855882771218
481.wrf,1.0,3200.0,0.9993820972789382,0.9994406952765067
481.wrf,1.0,4800.0,0.9993194316831826,0.9993821724750489
481.wrf,1.0,6400.0,0.9993820126862188,0.9994775686846418
481.wrf,1.0,8000.0,0.9993821737729711,0.9994576213083515
481.wrf,1.0,8800.0,0.9992961749922495,0.9993192031537151
481.wrf,1.0,12800.0,0.9993467227078567,0.9993200869231421
481.wrf,1.0,17600.0,0.9992266686483747,0.9991488695122643
481.wrf,2.0,8000.0,0.9995060634529834,0.9995344833767118
481.wrf,2.0,8800.0,0.9995488788868867,0.9995953151327137
481.wrf,4.0,8000.0,0.999694876221316,0.9997159616284985
481.wrf,4.0,8800.0,0.9997387306017891,0.9996711625723703
481.wrf,8.0,8000.0,0.9997813662043152,0.9998394272615425
481.wrf,8.0,8800.0,0.9998533063656534,0.9998916550442404
481.wrf,16.0,8000.0,0.9999714908221424,0.9999714908221424
481.wrf,16.0,8800.0,0.9999451558799972,0.9999451558799972
482.sphinx3,1.0,3200.0,0.8881225451188234,0.8972300969910147
482.sphinx3,1.0,4800.0,0.8787778391997192,0.8894280480310978
482.sphinx3,1.0,6400.0,0.8732437039262598,0.8844931655169839
482.sphinx3,1.0,8000.0,0.8703539195672937,0.8821331806947397
482.sphinx3,1.0,8800.0,0.8702580446068243,0.8823568678766297
482.sphinx3,1.0,12800.0,0.8674095142720335,0.8792403203292225
482.sphinx3,1.0,17600.0,0.8650170837590856,0.8773336586261644
482.sphinx3,2.0,8000.0,0.8960839291282504,0.906335400047413
482.sphinx3,2.0,8800.0,0.8962068997042385,0.9070690589104683
482.sphinx3,4.0,8000.0,0.9196525577974012,0.9300753722195587
482.sphinx3,4.0,8800.0,0.9203921653958276,0.9301329061448856
482.sphinx3,8.0,8000.0,0.9444944807174048,0.9513065866043708
482.sphinx3,8.0,8800.0,0.9450851812876564,0.9512539664286794
482.sphinx3,16.0,8000.0,0.9653695130181476,0.9698271707660828
482.sphinx3,16.0,8800.0,0.9648812956099023,0.9706268957165778
483.xalancbmk,1.0,3200.0,0.8616550568186743,0.8620709117934806
483.xalancbmk,1.0,4800.0,0.8461544616789306,0.8469016967863828
483.xalancbmk,1.0,6400.0,0.8402290350934942,0.840416116849021
483.xalancbmk,1.0,8000.0,0.8366753698846826,0.8369432935225907
483.xalancbmk,1.0,8800.0,0.8371744949331491,0.8376769645288721
483.xalancbmk,1.0,12800.0,0.8339658480775548,0.8342749877107822
483.xalancbmk,1.0,17600.0,0.831078255591106,0.8314471425250266
483.xalancbmk,2.0,8000.0,0.8492004932258339,0.8495991439610591
483.xalancbmk,2.0,8800.0,0.8498560154819942,0.8499802668021975
483.xalancbmk,4.0,8000.0,0.8669979363480924,0.8672653223967718
483.xalancbmk,4.0,8800.0,0.8681265754701802,0.8683608202943885
483.xalancbmk,8.0,8000.0,0.8905182486987963,0.8906981690511785
483.xalancbmk,8.0,8800.0,0.8910591894367245,0.8910668127170851
483.xalancbmk,16.0,8000.0,0.9146530062117301,0.9146814741149955
483.xalancbmk,16.0,8800.0,0.9160642182298582,0.9161406649226737
500.perlbench,1.0,3200.0,0.9553527277535961,0.9552771726514054
500.perlbench,1.0,4800.0,0.9521147537701048,0.9524484594348327
500.perlbench,1.0,6400.0,0.9504185921264924,0.9506923568190895
500.perlbench,1.0,8000.0,0.9498176449402479,0.9496719083717822
500.perlbench,1.0,8800.0,0.9504174312617593,0.9505572941658813
500.perlbench,1.0,12800.0,0.9488579949521642,0.949067611804521
500.perlbench,1.0,17600.0,0.9480681826688012,0.9479152354916973
500.perlbench,2.0,8000.0,0.9673808938896887,0.9673808938896887
500.perlbench,2.0,8800.0,0.9680713626832126,0.9680564589888029
500.perlbench,4.0,8000.0,0.9781783754523701,0.9781783754523701
