workload,Channel,interface,PRAC_WO_Mitigation,Benchmark_Types
MIX36,1.0,4800.0,0.9926723015136466,LLLL (15)
MIX36,1.0,6400.0,0.9926700882019686,LLLL (15)
MIX36,1.0,8000.0,0.9923828498569051,LLLL (15)
MIX36,1.0,8800.0,0.9926294600737093,LLLL (15)
MIX36,1.0,12800.0,0.9925007851444133,LLLL (15)
MIX36,1.0,17600.0,0.9917748229805804,LLLL (15)
MIX37,1.0,3200.0,0.9828887257013446,LLLL (15)
MIX37,1.0,4800.0,0.9824061003376409,LLLL (15)
MIX37,1.0,6400.0,0.9812135908231849,LLLL (15)
MIX37,1.0,8000.0,0.9806638817862702,LLLL (15)
MIX37,1.0,8800.0,0.9804381795373772,LLLL (15)
MIX37,1.0,12800.0,0.9803605390336069,LLLL (15)
MIX37,1.0,17600.0,0.9799605962912871,LLLL (15)
MIX38,1.0,3200.0,0.9680686985692504,LLLL (15)
MIX38,1.0,4800.0,0.9664137556392693,LLLL (15)
MIX38,1.0,6400.0,0.9655999880827902,LLLL (15)
MIX38,1.0,8000.0,0.9652886102783446,LLLL (15)
MIX38,1.0,8800.0,0.9653672148248396,LLLL (15)
MIX38,1.0,12800.0,0.9649127841959632,LLLL (15)
MIX38,1.0,17600.0,0.9633343631218743,LLLL (15)
MIX39,1.0,3200.0,0.9830269617727839,LLLL (15)
MIX39,1.0,4800.0,0.9809899520444398,LLLL (15)
MIX39,1.0,6400.0,0.9784227866562449,LLLL (15)
MIX39,1.0,8000.0,0.9766027193747375,LLLL (15)
MIX39,1.0,8800.0,0.9776528561076407,LLLL (15)
MIX39,1.0,12800.0,0.9761954469484663,LLLL (15)
MIX39,1.0,17600.0,0.9766641429712899,LLLL (15)
MIX4,1.0,3200.0,0.968303878663188,HHHH (15)
MIX4,1.0,4800.0,0.9274575549092486,HHHH (15)
MIX4,1.0,6400.0,0.8887166406704358,HHHH (15)
MIX4,1.0,8000.0,0.86751046937753,HHHH (15)
MIX4,1.0,8800.0,0.8695447026696411,HHHH (15)
MIX4,1.0,12800.0,0.8473492062517876,HHHH (15)
MIX4,1.0,17600.0,0.8583225604811514,HHHH (15)
MIX40,1.0,3200.0,0.9644886231303254,LLLL (15)
MIX40,1.0,4800.0,0.9631730803648105,LLLL (15)
MIX40,1.0,6400.0,0.959247642505407,LLLL (15)
MIX40,1.0,8000.0,0.9600830899209516,LLLL (15)
MIX40,1.0,8800.0,0.9611044432727507,LLLL (15)
MIX40,1.0,12800.0,0.9571865617558947,LLLL (15)
