workload,Channel,PRAC_WO_Mitigation,Benchmark_Types
LLLL (15),2.0,0.9831222873027086,
HHMM (15),2.0,0.8629989076524669,
HHLL (15),2.0,0.9195613470935164,
MMLL (15),2.0,0.9439579396936795,
HHHH (15),4.0,0.8471698817610795,
MMMM (15),4.0,0.9241025258089463,
LLLL (15),4.0,0.988226591141566,
HHMM (15),4.0,0.8812524633768042,
HHLL (15),4.0,0.9269049078214366,
MMLL (15),4.0,0.9543824536058626,
HHHH (15),8.0,0.8655506965892825,
MMMM (15),8.0,0.938820940970658,
LLLL (15),8.0,0.9924176229660691,
HHMM (15),8.0,0.8990780251049048,
HHLL (15),8.0,0.935252008065179,
MMLL (15),8.0,0.9645014473864484,
HHHH (15),16.0,0.8765794053593875,
MMMM (15),16.0,0.9522319489831582,
LLLL (15),16.0,0.9948527061127123,
HHMM (15),16.0,0.9117747206248765,
HHLL (15),16.0,0.9417700601314357,
MMLL (15),16.0,0.9750215957734646,
All (90),1.0,0.9018120248933144,
All (90),2.0,0.9067369977195543,
All (90),4.0,0.9191806262335972,
All (90),8.0,0.9316792940543145,
All (90),16.0,0.9412173188959239,
