workload,Channel,interface,mitigation,RD_REQs,WR_REQs,WR_ratio
458.sjeng,1.0,8800.0,Baseline,170651.0,97055.0,0.36254323773094366
456.hmmer,8.0,8800.0,Baseline,371231.0,264766.0,0.4163007058209394
401.bzip2,4.0,8800.0,Baseline,470875.0,219614.0,0.3180557546897923
557.xz,1.0,17600.0,Baseline,1141576.0,721513.0,0.38726706024242535
434.zeusmp,1.0,3200.0,Baseline,12060506.0,11463590.0,0.48731266867810774
ycsb_aserver,16.0,8800.0,Baseline,1403658.0,332583.0,0.19155347673508458
ycsb_dserver,1.0,12800.0,Baseline,910378.0,117098.0,0.11396665226243727
541.leela,1.0,8800.0,Baseline,6778.0,2.0,0.0002949852507374631
435.gromacs,4.0,8800.0,Baseline,264404.0,82242.0,0.2372506822522112
520.omnetpp,1.0,3200.0,Baseline,4555310.0,2169681.0,0.3226295767533369
h264_encode,2.0,8800.0,Baseline,33462.0,3200.0,0.08728383612459768
ycsb_bserver,1.0,8800.0,Baseline,1291150.0,70671.0,0.05189448539859497
557.xz,8.0,8800.0,Baseline,1141576.0,721513.0,0.38726706024242535
458.sjeng,16.0,8800.0,Baseline,170651.0,97055.0,0.36254323773094366
ycsb_eserver,1.0,17600.0,Baseline,1405847.0,86206.0,0.057776767983442945
tpch2,1.0,12800.0,Baseline,4654963.0,2045902.0,0.3053190894011445
ycsb_dserver,16.0,8800.0,Baseline,910378.0,117098.0,0.11396665226243727
jp2_decode,1.0,3200.0,Baseline,2414320.0,1853971.0,0.43435909126158456
444.namd,1.0,8800.0,Baseline,21246.0,255.0,0.011859913492395702
436.cactusADM,8.0,8800.0,Baseline,2408645.0,715034.0,0.2289076438392037
523.xalancbmk,4.0,8800.0,Baseline,443874.0,370371.0,0.4548643221634766
523.xalancbmk,1.0,12800.0,Baseline,443874.0,370371.0,0.4548643221634766
473.astar,16.0,8800.0,Baseline,2670428.0,1875421.0,0.41255681831930624
549.fotonik3d,1.0,12800.0,Baseline,12740001.0,4083583.0,0.24272967044358681
444.namd,1.0,6400.0,Baseline,21246.0,255.0,0.011859913492395702
502.gcc,4.0,8800.0,Baseline,325828.0,211600.0,0.393727159731164
401.bzip2,1.0,3200.0,Baseline,470875.0,219614.0,0.3180557546897923
429.mcf,1.0,17600.0,Baseline,34270893.0,4428612.0,0.11443588231942502
jp2_decode,1.0,6400.0,Baseline,2414320.0,1853971.0,0.43435909126158456
456.hmmer,1.0,3200.0,Baseline,371231.0,264766.0,0.4163007058209394
500.perlbench,16.0,8800.0,Baseline,859959.0,52943.0,0.05799417681196886
505.mcf,1.0,17600.0,Baseline,5745829.0,44231.0,0.007639126364839052
464.h264ref,1.0,17600.0,Baseline,63032.0,20886.0,0.24888581710717605
ycsb_eserver,16.0,8800.0,Baseline,1405847.0,86206.0,0.057776767983442945
464.h264ref,8.0,8800.0,Baseline,63032.0,20886.0,0.24888581710717605
wc_8443,16.0,8800.0,Baseline,2768471.0,2670936.0,0.49103440871403814
435.gromacs,1.0,6400.0,Baseline,264404.0,82242.0,0.2372506822522112
450.soplex,1.0,6400.0,Baseline,8930307.0,4465167.0,0.3333340052020556
429.mcf,2.0,8800.0,Baseline,34270893.0,4428612.0,0.11443588231942502
ycsb_cserver,2.0,8800.0,Baseline,1279983.0,41568.0,0.031453950698837954
510.parest,16.0,8800.0,Baseline,8614701.0,131156.0,0.014996357703996304
429.mcf,1.0,12800.0,Baseline,34270894.0,4428612.0,0.11443587936238772
544.nab,1.0,12800.0,Baseline,131968.0,3701.0,0.027279629097288254
523.xalancbmk,16.0,8800.0,Baseline,443874.0,370371.0,0.4548643221634766
462.libquantum,2.0,8800.0,Baseline,13190095.0,2097751.0,0.13721691074072828
ycsb_bserver,2.0,8800.0,Baseline,1291150.0,70671.0,0.05189448539859497
557.xz,4.0,8800.0,Baseline,1141576.0,721513.0,0.38726706024242535
510.parest,1.0,12800.0,Baseline,8614701.0,131156.0,0.014996357703996304
429.mcf,1.0,8800.0,Baseline,34270893.0,4428612.0,0.11443588231942502
519.lbm,8.0,8800.0,Baseline,12626141.0,9445015.0,0.4279347669872842
557.xz,1.0,6400.0,Baseline,1141576.0,721513.0,0.38726706024242535
437.leslie3d,1.0,3200.0,Baseline,7490900.0,2538104.0,0.2530763772753506
473.astar,1.0,6400.0,Baseline,2670428.0,1875421.0,0.41255681831930624
434.zeusmp,4.0,8800.0,Baseline,12060504.0,11463588.0,0.4873126665207737
jp2_decode,8.0,8800.0,Baseline,2414320.0,1853971.0,0.43435909126158456
549.fotonik3d,1.0,17600.0,Baseline,12740001.0,4083583.0,0.24272967044358681
447.dealII,8.0,8800.0,Baseline,21604.0,504.0,0.022797177492310475
500.perlbench,8.0,8800.0,Baseline,859959.0,52943.0,0.05799417681196886
464.h264ref,1.0,6400.0,Baseline,63032.0,20886.0,0.24888581710717605
437.leslie3d,1.0,17600.0,Baseline,7490900.0,2538104.0,0.2530763772753506
429.mcf,4.0,8800.0,Baseline,34270894.0,4428612.0,0.11443587936238772
481.wrf,1.0,17600.0,Baseline,13887.0,31.0,0.0022273315131484408
483.xalancbmk,1.0,12800.0,Baseline,6805319.0,163340.0,0.023439229843216607
557.xz,1.0,8800.0,Baseline,1141576.0,721513.0,0.38726706024242535
458.sjeng,1.0,3200.0,Baseline,170651.0,97055.0,0.36254323773094366
483.xalancbmk,1.0,8800.0,Baseline,6805319.0,163340.0,0.023439229843216607
505.mcf,8.0,8800.0,Baseline,5745829.0,44231.0,0.007639126364839052
tpch2,1.0,8800.0,Baseline,4654963.0,2045902.0,0.3053190894011445
471.omnetpp,2.0,8800.0,Baseline,5507746.0,228046.0,0.03975841522844622
508.namd,1.0,6400.0,Baseline,191281.0,25929.0,0.11937295704617651
wc_8443,4.0,8800.0,Baseline,2768471.0,2670936.0,0.49103440871403814
456.hmmer,2.0,8800.0,Baseline,371231.0,264766.0,0.4163007058209394
ycsb_dserver,1.0,17600.0,Baseline,910378.0,117098.0,0.11396665226243727
459.GemsFDTD,4.0,8800.0,Baseline,12223571.0,4463117.0,0.26746571878134234
549.fotonik3d,1.0,8800.0,Baseline,12740001.0,4083583.0,0.24272967044358681
525.x264,1.0,6400.0,Baseline,152049.0,54542.0,0.2640095647922707
544.nab,1.0,6400.0,Baseline,131968.0,3701.0,0.027279629097288254
435.gromacs,1.0,17600.0,Baseline,264404.0,82242.0,0.2372506822522112
538.imagick,1.0,3200.0,Baseline,4719.0,0.0,0.0
jp2_encode,1.0,3200.0,Baseline,1345306.0,1109223.0,0.45190869612866663
511.povray,8.0,8800.0,Baseline,4770.0,0.0,0.0
464.h264ref,16.0,8800.0,Baseline,63032.0,20886.0,0.24888581710717605
grep_map0,2.0,8800.0,Baseline,1830037.0,1761170.0,0.49041171951380136
520.omnetpp,4.0,8800.0,Baseline,4555310.0,2169681.0,0.3226295767533369
500.perlbench,1.0,12800.0,Baseline,859959.0,52943.0,0.05799417681196886
456.hmmer,1.0,12800.0,Baseline,371231.0,264766.0,0.4163007058209394
471.omnetpp,8.0,8800.0,Baseline,5507746.0,228046.0,0.03975841522844622
458.sjeng,1.0,6400.0,Baseline,170651.0,97055.0,0.36254323773094366
482.sphinx3,8.0,8800.0,Baseline,6303810.0,384674.0,0.057512883337988104
444.namd,1.0,3200.0,Baseline,21246.0,255.0,0.011859913492395702
jp2_encode,8.0,8800.0,Baseline,1345306.0,1109223.0,0.45190869612866663
541.leela,1.0,3200.0,Baseline,6778.0,2.0,0.0002949852507374631
458.sjeng,1.0,12800.0,Baseline,170651.0,97055.0,0.36254323773094366
520.omnetpp,8.0,8800.0,Baseline,4555310.0,2169681.0,0.3226295767533369
531.deepsjeng,2.0,8800.0,Baseline,145881.0,75902.0,0.34223542832408255
538.imagick,1.0,12800.0,Baseline,4719.0,0.0,0.0
tpch17,2.0,8800.0,Baseline,3801889.0,1319302.0,0.25761624590842247
tpch17,1.0,12800.0,Baseline,3801889.0,1319302.0,0.25761624590842247
grep_map0,1.0,6400.0,Baseline,1830037.0,1761170.0,0.49041171951380136
511.povray,1.0,17600.0,Baseline,4770.0,0.0,0.0
502.gcc,8.0,8800.0,Baseline,325828.0,211600.0,0.393727159731164
462.libquantum,1.0,8800.0,Baseline,13190098.0,2097751.0,0.13721688381406696
ycsb_aserver,8.0,8800.0,Baseline,1403658.0,332583.0,0.19155347673508458
tpcc64,4.0,8800.0,Baseline,1802978.0,430493.0,0.19274617848183387
wc_map0,8.0,8800.0,Baseline,2751144.0,2658120.0,0.49140141801176646
459.GemsFDTD,1.0,6400.0,Baseline,12223570.0,4463116.0,0.2674656909107057
445.gobmk,1.0,3200.0,Baseline,171205.0,111210.0,0.39378219995396846
519.lbm,4.0,8800.0,Baseline,12626141.0,9445015.0,0.4279347669872842
538.imagick,2.0,8800.0,Baseline,4719.0,0.0,0.0
434.zeusmp,1.0,8800.0,Baseline,12060506.0,11463590.0,0.48731266867810774
519.lbm,2.0,8800.0,Baseline,12626140.0,9445014.0,0.42793476045702006
445.gobmk,1.0,12800.0,Baseline,171205.0,111210.0,0.39378219995396846
tpch6,16.0,8800.0,Baseline,527986.0,240815.0,0.3132345041174504
445.gobmk,4.0,8800.0,Baseline,171205.0,111210.0,0.39378219995396846
502.gcc,2.0,8800.0,Baseline,325828.0,211600.0,0.393727159731164
tpch17,1.0,17600.0,Baseline,3801889.0,1319302.0,0.25761624590842247
464.h264ref,1.0,3200.0,Baseline,63032.0,20886.0,0.24888581710717605
grep_map0,4.0,8800.0,Baseline,1830037.0,1761170.0,0.49041171951380136
526.blender,2.0,8800.0,Baseline,116503.0,196.0,0.0016795345290019623
ycsb_eserver,1.0,12800.0,Baseline,1405847.0,86206.0,0.057776767983442945
