workload,Channel,interface,1RFM-1tREFI,1RFM-2tREFI,1RFM-4tREFI,2RFM-1tREFI,4RFM-1tREFI
531.deepsjeng,1.0,8000.0,0.9475451495554692,0.9758933599408589,0.9888786507233638,0.8951524977334631,0.7547042975221101
538.imagick,1.0,8000.0,0.9965643407491996,0.9981624179201927,0.9991036958602058,0.9937021541352818,0.9838108676313246
541.leela,1.0,8000.0,0.9979798223631823,0.9990843967616033,0.9996315271242334,0.9957918648588869,0.9898797842440261
544.nab,1.0,8000.0,0.9530013609690616,0.9768247656869932,0.9885008906656615,0.881123406984487,0.6538165688404026
549.fotonik3d,1.0,8000.0,0.8807149484860931,0.9405948468001414,0.9705183021473341,0.76288275422729,0.5232041042318746
557.xz,1.0,8000.0,0.92428462403495,0.9616223508474085,0.9820987145209376,0.8440055309699617,0.6486968567854611
grep_map0,1.0,8000.0,0.9548407934637251,0.9782463079068545,0.9891209657073251,0.9019859202491157,0.7550706416650516
h264_encode,1.0,8000.0,0.9986354441141104,0.9993359219698934,0.9997067753294043,0.9970338330771826,0.9913572903889861
jp2_decode,1.0,8000.0,0.9168411103124425,0.9602272607292248,0.9802912934802809,0.8324624005319905,0.6212002229151179
jp2_encode,1.0,8000.0,0.940969072763115,0.9709756673293318,0.9858855886152196,0.8756582245319966,0.70459741365137
tpcc64,1.0,8000.0,0.9272755250401957,0.9623266155109701,0.9830870030230449,0.8562486521755696,0.6728290422780061
tpch17,1.0,8000.0,0.8943870680899116,0.9476222870524914,0.9736708751717391,0.7888349679905379,0.55279203189207
tpch2,1.0,8000.0,0.9052487113071899,0.9525302337107541,0.9764426722150111,0.8104087673988958,0.5823151102681671
tpch6,1.0,8000.0,0.9431502360282134,0.9719587317020281,0.9859688558983704,0.8888368862991948,0.7259031449580996
wc_8443,1.0,8000.0,0.8937186406760452,0.9474909103998397,0.9739025098651346,0.7857253753829716,0.5593800893918894
wc_map0,1.0,8000.0,0.8948794791782225,0.9475626233089957,0.9740056057762004,0.7870244599818315,0.5610684964162764
ycsb_abgsave,1.0,8000.0,0.8959158240707245,0.9481079579041041,0.9740767280779776,0.7942131371140201,0.5887760620011115
ycsb_aserver,1.0,8000.0,0.9024262317281524,0.9513659364202199,0.9755011575750198,0.8062444042469546,0.5810618788467222
ycsb_bserver,1.0,8000.0,0.8972108445271971,0.9473915525910319,0.9742623383691027,0.797792803884753,0.5758042843855397
ycsb_cserver,1.0,8000.0,0.8974526462747798,0.9477722888901219,0.9738631817476617,0.8003616462233571,0.5793026123968601
ycsb_dserver,1.0,8000.0,0.9139683793577955,0.957056858843796,0.9779999881653325,0.8375548950962471,0.6327089396092378
ycsb_eserver,1.0,8000.0,0.8948590208769217,0.9468673717392797,0.97297414470738,0.7913857448923984,0.5676963868476356
SPEC2K6 (23),1.0,8000.0,0.9255809630028107,0.9632540754058374,0.9816286337903745,0.8447322749615471,0.6571470833364491
SPEC2K17 (18),1.0,8000.0,0.9429256370565944,0.972197947764597,0.9865029177191259,0.8818000108746743,0.7254989270674627
TPC (4),1.0,8000.0,0.9173198160184804,0.9585639451373545,0.9797798878715546,0.8351761115475225,0.6296885702401736
Hadoop (3),1.0,8000.0,0.9140405090469232,0.9576579032931535,0.9789836745985921,0.8231637857735229,0.6188282872949892
MediaBench (3),1.0,8000.0,0.9515365350578884,0.9767077315717085,0.9885942946148072,0.8990897598387797,0.7570669443701898
YCSB (6),1.0,8000.0,0.900281780178152,0.9497536382320851,0.9747782446438957,0.8044460890281351,0.5871902486437828
All (57),1.0,8000.0,0.9281462502627537,0.9645479963837279,0.9824572227311918,0.8523152449846053,0.6698331813748147
